Time,Coherence
2.0300000000000002,-0.7946357497573974
2.04,-0.8066177485832405
2.05,-0.8182771110644103
2.06,-0.8296091736113709
2.07,-0.8406094035501945
2.08,-0.8512734009355745
2.09,-0.8615969003107405
2.1,-0.8715757724135882
2.11,-0.8812060258283253
2.12,-0.8904838085819885
2.13,-0.8994054096851777
2.14,-0.9079672606164054
2.15,-0.9161659367494549
2.16,-0.9239981587231879
2.17,-0.9314607937532425
2.18,-0.9385508568851079
2.19,-0.9452655121880633
2.2,-0.9516020738895161
2.21,-0.9575580074492711
2.22,-0.9631309305733167
2.23,-0.9683186141667072
2.24,-0.9731189832251739
2.25,-0.977530117665097
2.2600000000000002,-0.9815502530915156
2.27,-0.9851777815038595
2.2800000000000002,-0.9884112519391306
2.29,-0.991249371052267
